Gene	Hugo_Symbol	Chromosome	SYMBOL_SOURCE	HGNC_ID	Entrez_Gene_Id
ENSG00000121101	TEX14	17	HGNC	11737.0	56155
ENSG00000062716	VMP1	17	HGNC	29559.0	81671
ENSG00000198265	HELZ	17	HGNC	16878.0	9931
ENSG00000196169	KIF19	17	HGNC	26735.0	124602
ENSG00000183034	OTOP2	17	HGNC	19657.0	92736
ENSG00000183206	POTEC	18	HGNC	33894.0	388468
ENSG00000130856	ZNF236	18	HGNC	13028.0	7776
ENSG00000099804	CDC34	19	HGNC	1734.0	997
ENSG00000130382	MLLT1	19	HGNC	7134.0	4298
ENSG00000181143	MUC16	19	HGNC	15582.0	94025
ENSG00000080573	COL5A3	19	HGNC	14864.0	50509
ENSG00000127526	SLC35E1	19	HGNC	20803.0	79939
ENSG00000160111	CPAMD8	19	HGNC	23228.0	27151
ENSG00000126249	PDCD2L	19	HGNC	28194.0	84306
ENSG00000161270	NPHS1	19	HGNC	7908.0	4868
ENSG00000013275	PSMC4	19	HGNC	9551.0	5704
ENSG00000185792	NLRP9	19	HGNC	22941.0	338321
ENSG00000186230	ZNF749	19	HGNC	32783.0	388567
ENSG00000125843	AP5S1	20	HGNC	15875.0	55317
ENSG00000089199	CHGB	20	HGNC	1930.0	1114
ENSG00000174306	ZHX3	20	HGNC	15935.0	23051
ENSG00000158470	B4GALT5	20	HGNC	928.0	9334
ENSG00000124225	PMEPA1	20	HGNC	14107.0	56937
ENSG00000156282	CLDN17	21	HGNC	2038.0	26285
ENSG00000157554	ERG	21	HGNC	3446.0	2078
ENSG00000183067	IGSF5	21	HGNC	5952.0	150084
ENSG00000100345	MYH9	22	HGNC	7579.0	4627
ENSG00000198223	CSF2RA	X	HGNC	2435.0	1438
ENSG00000169093	ASMTL	X	HGNC	751.0	8623
ENSG00000230797	YY2	X	HGNC	31684.0	404281
ENSG00000156313	RPGR	X	HGNC	10295.0	6103
ENSG00000102225	CDK16	X	HGNC	8749.0	5127
ENSG00000001497	LAS1L	X	HGNC	25726.0	81887
ENSG00000126952	NXF5	X	HGNC	8075.0	55998
ENSG00000172476	RAB40A	X	HGNC	18283.0	142684
ENSG00000072315	TRPC5	X	HGNC	12337.0	7224
ENSG00000182508	LHFPL1	X	HGNC	6587.0	340596
ENSG00000156920	GPR112	X	HGNC	18992.0	139378
ENSG00000102032	RENBP	X	HGNC	9959.0	5973
ENSG00000185010	F8	X	HGNC	3546.0	2157
ENSG00000162591	MEGF6	1	HGNC	3232.0	1953
ENSG00000236948	RP11-154H17.1	1	Clone_based_vega_gene		0
ENSG00000237276	ANO7P1	1	HGNC	32248.0	101927507
ENSG00000074964	ARHGEF10L	1	HGNC	25540.0	55160
ENSG00000203995	ZYG11A	1	HGNC	32058.0	440590
ENSG00000223380	SEC22B	1	HGNC	10700.0	101060309
ENSG00000189171	S100A13	1	HGNC	10490.0	6284
ENSG00000143198	MGST3	1	HGNC	7064.0	4259
ENSG00000117523	PRRC2C	1	HGNC	24903.0	23215
ENSG00000224228	RP1-15D23.2	1	Clone_based_vega_gene		0
ENSG00000054392	HHAT	1	HGNC	18270.0	55733
ENSG00000198626	RYR2	1	HGNC	10484.0	6262
ENSG00000115380	EFEMP1	2	HGNC	3218.0	2202
	ENSR00001180210	2			0
ENSG00000135636	DYSF	2	HGNC	3097.0	8291
ENSG00000172005	MAL	2	HGNC	6817.0	4118
ENSG00000228016	RAPGEF4-AS1	2	HGNC	28081.0	91149
ENSG00000128655	PDE11A	2	HGNC	8773.0	50940
ENSG00000168542	COL3A1	2	HGNC	2201.0	1281
ENSG00000115419	GLS	2	HGNC	4331.0	2744
ENSG00000138363	ATIC	2	HGNC	794.0	471
	Unknown	2			0
ENSG00000176946	THAP4	2	HGNC	23187.0	51078
	Unknown	3			0
ENSG00000023330	ALAS1	3	HGNC	396.0	211
ENSG00000264871	AC104331.1	3	Clone_based_ensembl_gene		0
ENSG00000183185	GABRR3	3	HGNC	17969.0	200959
ENSG00000065534	MYLK	3	HGNC	7590.0	4638
ENSG00000133256	PDE6B	4	HGNC	8786.0	5158
ENSG00000109667	SLC2A9	4	HGNC	13446.0	56606
ENSG00000064042	LIMCH1	4	HGNC	29191.0	22998
ENSG00000075539	FRYL	4	HGNC	29127.0	285527
ENSG00000174799	CEP135	4	HGNC	29086.0	9662
ENSG00000152583	SPARCL1	4	HGNC	11220.0	8404
	Unknown	4			0
	Unknown	4			0
ENSG00000145555	MYO10	5	HGNC	7593.0	4651
ENSG00000145687	SSBP2	5	HGNC	15831.0	23635
ENSG00000138829	FBN2	5	HGNC	3604.0	2201
ENSG00000043143	JADE2	5	HGNC	22984.0	23338
	Unknown	5			0
ENSG00000254226	CTB-12O2.1	5	Clone_based_vega_gene		101927115
ENSG00000131459	GFPT2	5	HGNC	4242.0	9945
ENSG00000198721	ECI2	6	HGNC	14601.0	10455
	Unknown	6			0
	Unknown	6			0
ENSG00000272221	XXbac-BPG181B23.7	6	Clone_based_vega_gene		101929072
ENSG00000251916	RNU1-61P	6	HGNC	48403.0	0
ENSG00000124493	GRM4	6	HGNC	4596.0	2914
ENSG00000135316	SYNCRIP	6	HGNC	16918.0	10492
ENSG00000232532	RP11-63K6.7	6	Clone_based_vega_gene		0
	Unknown	6			0
ENSG00000164465	DCBLD1	6	HGNC	21479.0	285761
ENSG00000178199	ZC3H12D	6	HGNC	21175.0	340152
ENSG00000146426	TIAM2	6	HGNC	11806.0	26230
ENSG00000188191	PRKAR1B	7	HGNC	9390.0	5575
	Unknown	7			0
ENSG00000185274	WBSCR17	7	HGNC	16347.0	64409
ENSG00000135185	TMEM243	7	HGNC	21707.0	79161
ENSG00000196367	TRRAP	7	HGNC	12347.0	8295
ENSG00000081800	SLC13A1	7	HGNC	10916.0	6561
	Unknown	7			0
ENSG00000239839	DEFA3	8	HGNC	2762.0	728358
ENSG00000154319	FAM167A	8	HGNC	15549.0	83648
ENSG00000198791	CNOT7	8	HGNC	14101.0	29883
ENSG00000120910	PPP3CC	8	HGNC	9316.0	5533
ENSG00000120896	SORBS3	8	HGNC	30907.0	10174
	Unknown	8			0
ENSG00000137571	SLCO5A1	8	HGNC	19046.0	81796
	Unknown	8			0
ENSG00000155897	ADCY8	8	HGNC	239.0	114
ENSG00000120156	TEK	9	HGNC	11724.0	7010
ENSG00000120162	MOB3B	9	HGNC	23825.0	79817
ENSG00000122707	RECK	9	HGNC	11345.0	8434
ENSG00000119139	TJP2	9	HGNC	11828.0	9414
ENSG00000135049	AGTPBP1	9	HGNC	17258.0	23287
ENSG00000135049	AGTPBP1	9	HGNC	17258.0	23287
ENSG00000182752	PAPPA	9	HGNC	8602.0	5069
ENSG00000173611	SCAI	9	HGNC	26709.0	286205
ENSG00000130707	ASS1	9	HGNC	758.0	445
ENSG00000187522	HSPA14	10	HGNC	29526.0	51182
ENSG00000226113	RP11-672F9.1	10	Clone_based_vega_gene		0
	Unknown	10			0
ENSG00000165449	SLC16A9	10	HGNC	23520.0	220963
ENSG00000150347	ARID5B	10	HGNC	17362.0	84159
ENSG00000107625	DDX50	10	HGNC	17906.0	79009
ENSG00000236217	C1DP2	10	HGNC	31660.0	0
ENSG00000156395	SORCS3	10	HGNC	16699.0	22986
ENSG00000108039	XPNPEP1	10	HGNC	12822.0	7511
ENSG00000165832	TRUB1	10	HGNC	16060.0	142940
ENSG00000166033	HTRA1	10	HGNC	9476.0	5654
ENSG00000165973	NELL1	11	HGNC	7750.0	4745
ENSG00000134343	ANO3	11	HGNC	14004.0	63982
	Unknown	11			0
ENSG00000150244	TRIM48	11	HGNC	19021.0	79097
ENSG00000162144	CYB561A3	11	HGNC	23014.0	220002
	Unknown	11			0
ENSG00000137474	MYO7A	11	HGNC	7606.0	4647
ENSG00000137474	MYO7A	11	HGNC	7606.0	4647
ENSG00000010295	IFFO1	12	HGNC	24970.0	25900
ENSG00000255864	RP11-444D3.1	12	Clone_based_vega_gene		0
ENSG00000110841	PPFIBP1	12	HGNC	9249.0	8496
ENSG00000066084	DIP2B	12	HGNC	29284.0	57609
ENSG00000111481	COPZ1	12	HGNC	2243.0	22818
ENSG00000186908	ZDHHC17	12	HGNC	18412.0	23390
	Unknown	12			0
ENSG00000256870	SLC5A8	12	HGNC	19119.0	160728
ENSG00000174527	MYO1H	12	HGNC	13879.0	283446
ENSG00000157782	CABP1	12	HGNC	1384.0	9478
ENSG00000110931	CAMKK2	12	HGNC	1470.0	10645
ENSG00000204671	IL31	12	HGNC	19372.0	386653
ENSG00000111450	STX2	12	HGNC	3403.0	2054
ENSG00000176915	ANKLE2	12	HGNC	29101.0	23141
ENSG00000132932	ATP8A2	13	HGNC	13533.0	51761
ENSG00000180440	SERTM1	13	HGNC	33792.0	400120
ENSG00000083535	PIBF1	13	HGNC	23352.0	10464
ENSG00000125304	TM9SF2	13	HGNC	11865.0	9375
ENSG00000213995	CARKD	13	HGNC	25576.0	55739
ENSG00000100567	PSMA3	14	HGNC	9532.0	5684
	Unknown	14			0
ENSG00000140090	SLC24A4	14	HGNC	10978.0	123041
ENSG00000066739	ATG2B	14	HGNC	20187.0	55102
	Unknown	14			0
ENSG00000253482	IGHVII-26-2	14	HGNC	5674.0	0
ENSG00000258590	NBEAP1	15	HGNC	1007.0	0
ENSG00000206149	HERC2P9	15	HGNC	30495.0	440248
ENSG00000134160	TRPM1	15	HGNC	7146.0	4308
ENSG00000104133	SPG11	15	HGNC	11226.0	80208
ENSG00000138606	SHF	15	HGNC	25116.0	90525
ENSG00000156958	GALK2	15	HGNC	4119.0	2585
ENSG00000188869	TMC3	15	HGNC	22995.0	342125
ENSG00000185418	TARSL2	15	HGNC	24728.0	123283
ENSG00000183044	ABAT	16	HGNC	23.0	18
ENSG00000189067	LITAF	16	HGNC	16841.0	9516
	Unknown	16			0
ENSG00000265616	AC136932.2	16	Clone_based_ensembl_gene		0
	Unknown	16			0
ENSG00000206833	RNU6-20P	16	HGNC	34264.0	0
ENSG00000172828	CES3	16	HGNC	1865.0	23491
ENSG00000238734	snoU13	16	RFAM		0
	Unknown	16			0
	Unknown	16			0
ENSG00000172530	BANP	16	HGNC	13450.0	54971
ENSG00000176715	ACSF3	16	HGNC	27288.0	197322
ENSG00000034152	MAP2K3	17	HGNC	6843.0	5606
ENSG00000184185	KCNJ12	17	HGNC	6258.0	3768
ENSG00000174093	RP11-1407O15.2	17	Clone_based_vega_gene		101929950
ENSG00000167914	GSDMA	17	HGNC	13311.0	284110
ENSG00000012048	BRCA1	17	HGNC	1100.0	672
ENSG00000120088	CRHR1	17	HGNC	2357.0	1394
ENSG00000121073	SLC35B1	17	HGNC	20798.0	10237
ENSG00000199492	RNU6-1313P	17	HGNC	48276.0	0
	Unknown	17			0
ENSG00000062716	VMP1	17	HGNC	29559.0	81671
ENSG00000068097	HEATR6	17	HGNC	24076.0	63897
ENSG00000170832	USP32	17	HGNC	19143.0	84669
ENSG00000173838	MARCH10	17	HGNC	26655.0	162333
	ENSR00001599522	17			0
	Unknown	17			0
ENSG00000260759	RP11-677O4.2	18	Clone_based_vega_gene		0
ENSG00000267733	RP11-64C12.3	18	Clone_based_vega_gene		497259
ENSG00000154065	ANKRD29	18	HGNC	27110.0	147463
	Unknown	18			0
ENSG00000205744	DENND1C	19	HGNC	26225.0	79958
ENSG00000166289	PLEKHF1	19	HGNC	20764.0	79156
	Unknown	19			0
ENSG00000187187	ZNF546	19	HGNC	28671.0	339327
ENSG00000125746	EML2	19	HGNC	18035.0	24139
ENSG00000169515	CCDC8	19	HGNC	25367.0	83987
ENSG00000118156	ZNF541	19	HGNC	25294.0	84215
ENSG00000213023	SYT3	19	HGNC	11511.0	84258
ENSG00000258873	DUXA	19	HGNC	32179.0	503835
ENSG00000231078	RP11-560A15.4	20	Clone_based_vega_gene		0
ENSG00000269223	AL158091.1	20	Clone_based_ensembl_gene		100509861
ENSG00000187172	BAGE2	21	HGNC	15723.0	0
	ENSR00001648438	21			0
ENSG00000093009	CDC45	22	HGNC	1739.0	8318
ENSG00000159496	RGL4	22	HGNC	31911.0	266747
ENSG00000159307	SCUBE1	22	HGNC	13441.0	80274
	Unknown	22			0
	Unknown	22			0
	Unknown	22			0
ENSG00000079974	RABL2B	22	HGNC	9800.0	11159
ENSG00000198947	DMD	X	HGNC	2928.0	1756
ENSG00000001497	LAS1L	X	HGNC	25726.0	81887
ENSG00000102181	CD99L2	X	HGNC	18237.0	83692
ENSG00000185010	F8	X	HGNC	3546.0	2157
ENSG00000142627	EPHA2	1	HGNC	3386.0	1969
ENSG00000215908	CROCCP2	1	HGNC	28170.0	84809
ENSG00000142619	PADI3	1	HGNC	18337.0	51702
ENSG00000125945	ZNF436	1	HGNC	20814.0	80818
ENSG00000134668	SPOCD1	1	HGNC	26338.0	90853
ENSG00000185483	ROR1	1	HGNC	10256.0	4919
ENSG00000137960	GIPC2	1	HGNC	18177.0	54810
ENSG00000197915	HRNR	1	HGNC	20846.0	388697
ENSG00000047410	TPR	1	HGNC	12017.0	7175
ENSG00000187701	OR2T27	1	HGNC	31252.0	403239
ENSG00000143882	ATP6V1C2	2	HGNC	18264.0	245973
ENSG00000169607	CKAP2L	2	HGNC	26877.0	150468
ENSG00000023228	NDUFS1	2	HGNC	7707.0	4719
ENSG00000132182	NUP210	3	HGNC	30052.0	23225
ENSG00000178567	EPM2AIP1	3	HGNC	19735.0	9852
ENSG00000144893	MED12L	3	HGNC	16050.0	116931
ENSG00000152580	IGSF10	3	HGNC	26384.0	285313
ENSG00000256394	ASIC5	4	HGNC	17537.0	51802
ENSG00000122012	SV2C	5	HGNC	30670.0	22987
ENSG00000122012	SV2C	5	HGNC	30670.0	22987
ENSG00000120729	MYOT	5	HGNC	12399.0	9499
ENSG00000120322	PCDHB8	5	HGNC	8693.0	56128
ENSG00000253159	PCDHGA12	5	HGNC	8699.0	26025
ENSG00000113657	DPYSL3	5	HGNC	3015.0	1809
ENSG00000189367	KIAA0408	6	HGNC	21636.0	9729
ENSG00000197442	MAP3K5	6	HGNC	6857.0	4217
ENSG00000120254	MTHFD1L	6	HGNC	21055.0	25902
ENSG00000112531	QKI	6	HGNC	21100.0	9444
ENSG00000112584	FAM120B	6	HGNC	21109.0	84498
ENSG00000146587	RBAK	7	HGNC	17680.0	57786
ENSG00000048052	HDAC9	7	HGNC	14065.0	9734
ENSG00000136274	NACAD	7	HGNC	22196.0	23148
ENSG00000169902	TPST1	7	HGNC	12020.0	8460
ENSG00000183166	CALN1	7	HGNC	13248.0	83698
ENSG00000187257	RSBN1L	7	HGNC	24765.0	222194
ENSG00000127990	SGCE	7	HGNC	10808.0	8910
ENSG00000188037	CLCN1	7	HGNC	2019.0	1180
ENSG00000159840	ZYX	7	HGNC	13200.0	7791
ENSG00000159840	ZYX	7	HGNC	13200.0	7791
ENSG00000172680	MOS	8	HGNC	7199.0	4342
ENSG00000107105	ELAVL2	9	HGNC	3313.0	1993
ENSG00000107105	ELAVL2	9	HGNC	3313.0	1993
ENSG00000106789	CORO2A	9	HGNC	2255.0	7464
ENSG00000142089	IFITM3	11	HGNC	5414.0	10410
ENSG00000166333	ILK	11	HGNC	6040.0	3611
ENSG00000187726	DNAJB13	11	HGNC	30718.0	374407
ENSG00000151835	SACS	13	HGNC	10519.0	26278
ENSG00000159433	STARD9	15	HGNC	19162.0	57519
ENSG00000254206	NPIPB11	16	HGNC	37453.0	728888
ENSG00000083799	CYLD	16	HGNC	2584.0	1540
ENSG00000103460	TOX3	16	HGNC	11972.0	27324
ENSG00000158545	ZC3H18	16	HGNC	25091.0	124245
ENSG00000141252	VPS53	17	HGNC	25608.0	55275
ENSG00000141510	TP53	17	HGNC	11998.0	7157
ENSG00000131748	STARD3	17	HGNC	17579.0	10948
ENSG00000161664	ASB16	17	HGNC	19768.0	92591
ENSG00000006062	MAP3K14	17	HGNC	6853.0	0
ENSG00000267302	RP11-178C3.2	17	Clone_based_vega_gene		101927755
ENSG00000141522	ARHGDIA	17	HGNC	678.0	396
ENSG00000196628	TCF4	18	HGNC	11634.0	6925
ENSG00000075702	WDR62	19	HGNC	24502.0	284403
ENSG00000090920	FCGBP	19	HGNC	13572.0	8857
ENSG00000213908	CYP2A7P1	19	HGNC	2612.0	0
ENSG00000022556	NLRP2	19	HGNC	22948.0	55655
ENSG00000124151	NCOA3	20	HGNC	7670.0	8202
ENSG00000156299	TIAM1	21	HGNC	11805.0	7074
ENSG00000173674	EIF1AX	X	HGNC	3250.0	1964
ENSG00000198947	DMD	X	HGNC	2928.0	1756
ENSG00000185448	FAM47A	X	HGNC	29962.0	158724
ENSG00000250349	TM4SF2	X	Uniprot_gn		0
ENSG00000126733	DACH2	X	HGNC	16814.0	117154
ENSG00000101882	NKAP	X	HGNC	29873.0	79576
ENSG00000162601	MYSM1	1	HGNC	29401.0	114803
ENSG00000117155	SSX2IP	1	HGNC	16509.0	117178
ENSG00000081026	MAGI3	1	HGNC	29647.0	260425
ENSG00000143552	NUP210L	1	HGNC	29915.0	91181
ENSG00000117152	RGS4	1	HGNC	10000.0	5999
ENSG00000134369	NAV1	1	HGNC	15989.0	89796
ENSG00000133067	LGR6	1	HGNC	19719.0	59352
ENSG00000185842	DNAH14	1	HGNC	2945.0	127602
ENSG00000185842	DNAH14	1	HGNC	2945.0	127602
ENSG00000163041	H3F3A	1	HGNC	4764.0	3020
ENSG00000143882	ATP6V1C2	2	HGNC	18264.0	245973
ENSG00000143924	EML4	2	HGNC	1316.0	27436
ENSG00000072135	PTPN18	2	HGNC	9649.0	26469
ENSG00000115850	LCT	2	HGNC	6530.0	3938
ENSG00000136546	SCN7A	2	HGNC	10594.0	6332
ENSG00000151689	INPP1	2	HGNC	6071.0	3628
ENSG00000079263	SP140	2	HGNC	17133.0	11262
ENSG00000144711	IQSEC1	3	HGNC	29112.0	9922
ENSG00000163930	BAP1	3	HGNC	950.0	8314
ENSG00000173706	HEG1	3	HGNC	29227.0	57493
ENSG00000172752	COL6A5	3	HGNC	26674.0	256076
ENSG00000174944	P2RY14	3	HGNC	16442.0	9934
ENSG00000163536	SERPINI1	3	HGNC	8943.0	5274
ENSG00000187527	ATP13A5	3	HGNC	31789.0	344905
ENSG00000137449	CPEB2	4	HGNC	21745.0	132864
ENSG00000109320	NFKB1	4	HGNC	7794.0	4790
ENSG00000180537	RNF182	6	HGNC	28522.0	221687
ENSG00000158553	POM121L2	6	HGNC	13973.0	94026
ENSG00000221988	PPT2	6	HGNC	9326.0	9374
ENSG00000161896	IP6K3	6	HGNC	17269.0	117283
ENSG00000010810	FYN	6	HGNC	4037.0	2534
ENSG00000213071	LPAL2	6	HGNC	21210.0	80350
ENSG00000174469	CNTNAP2	7	HGNC	13830.0	26047
ENSG00000185053	SGCZ	8	HGNC	14075.0	137868
ENSG00000120875	DUSP4	8	HGNC	3070.0	1846
ENSG00000104369	JPH1	8	HGNC	14201.0	56704
ENSG00000132297	HHLA1	8	HGNC	4904.0	10086
ENSG00000179142	CYP11B2	8	HGNC	2592.0	1585
ENSG00000136826	KLF4	9	HGNC	6348.0	9314
